indicator,value,unit,reference_year,source,url,note
students_total,37000,persons,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,"SUNEDU reports more than 37,000 students."
academic_programs_total,184,programs,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,"66 undergraduate, 87 master's and 31 doctoral programs."
undergraduate_programs,66,programs,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,
masters_programs,87,programs,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,
doctoral_programs,31,programs,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,
faculty_total,2931,persons,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,
faculty_fulltime_exclusive,1519,persons,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,51.8% of declared faculty.
laboratories,304,facilities,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,
workshops,23,facilities,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,
libraries_information_units,44,units,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,
scopus_publications_reported,2330,publications,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,Historical licensing-period figure; not a current total.
scielo_publications_reported,1780,publications,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,Historical licensing-period figure; not a current total.
qualified_researchers_regina,239,persons,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,Historical REGINA figure.
patents_last_five_years_reported,14,patents,2017,SUNEDU institutional licensing note,https://www.sunedu.gob.pe/sunedu-otorga-licenciamiento-institucional-universidad-nacional-mayor-san-marcos/,As reported in the 2018 licensing note.
