record_id,year,faculty,role,digital_infrastructure_score,digital_competence_score,platform_reliability_score,digital_governance_score,process_automation_score,change_readiness_score,student_service_access_score,teaching_support_quality_score,user_satisfaction_score,processing_time_hours,error_rate_pct,high_quality_efficiency
UNMSM_DEMO_0001,2022,Faculty_13,student,39.76,70.47,49.39,52.98,32.71,55.41,65.83,67.36,61.3,92.27,18.67,0
UNMSM_DEMO_0002,2025,Faculty_16,faculty,57.52,67.19,43.35,63.3,49.15,47.44,64.78,69.34,52.95,101.08,15.22,1
UNMSM_DEMO_0003,2025,Faculty_15,administrative,88.76,96.77,100.0,90.21,76.43,65.69,90.04,90.62,80.64,48.81,2.2,1
UNMSM_DEMO_0004,2024,Faculty_03,faculty,94.36,73.14,73.08,61.92,66.16,81.67,70.42,77.79,54.31,89.91,7.35,1
UNMSM_DEMO_0005,2024,Faculty_17,manager,53.72,46.05,77.58,54.38,47.61,31.4,64.51,53.09,56.93,80.28,9.7,1
UNMSM_DEMO_0006,2026,Faculty_11,administrative,90.11,67.25,64.44,62.51,60.81,65.97,65.71,83.48,62.22,92.31,13.38,0
UNMSM_DEMO_0007,2022,Faculty_07,administrative,42.6,32.5,56.91,44.62,44.74,42.71,54.51,55.57,56.26,93.24,12.41,0
UNMSM_DEMO_0008,2025,Faculty_11,student,46.68,39.53,47.85,42.86,38.87,3.77,67.36,50.24,41.88,91.59,12.9,0
UNMSM_DEMO_0009,2023,Faculty_20,faculty,51.23,54.68,59.17,54.35,50.29,47.09,72.78,61.26,50.49,77.97,9.73,1
UNMSM_DEMO_0010,2022,Faculty_18,student,61.67,60.95,43.76,38.3,26.82,49.21,53.86,59.17,58.61,88.19,13.83,1
UNMSM_DEMO_0011,2024,Faculty_17,faculty,73.94,54.6,63.31,46.98,41.12,48.54,66.42,75.49,55.25,86.55,14.96,1
UNMSM_DEMO_0012,2026,Faculty_10,faculty,55.17,22.61,56.46,21.42,33.58,43.86,62.34,63.68,35.54,106.95,12.37,0
UNMSM_DEMO_0013,2025,Faculty_16,manager,49.08,58.42,51.58,51.01,51.6,35.03,64.19,64.46,71.18,78.71,9.53,1
UNMSM_DEMO_0014,2025,Faculty_08,manager,72.47,55.5,65.71,59.5,62.64,39.12,57.43,63.24,49.64,66.88,6.82,1
UNMSM_DEMO_0015,2025,Faculty_14,student,64.42,65.09,63.3,65.6,38.66,54.88,55.74,72.8,57.7,79.33,9.65,1
UNMSM_DEMO_0016,2025,Faculty_13,faculty,85.71,64.31,89.95,47.22,53.78,56.52,82.22,74.35,67.17,90.52,3.58,1
UNMSM_DEMO_0017,2024,Faculty_05,faculty,56.63,43.06,50.31,45.92,50.08,34.96,48.28,55.6,51.59,95.67,8.72,0
UNMSM_DEMO_0018,2022,Faculty_06,student,71.02,71.45,79.6,79.95,59.98,74.05,69.27,78.69,63.15,59.02,12.33,1
UNMSM_DEMO_0019,2026,Faculty_02,student,42.91,39.67,59.04,49.98,34.01,34.65,61.14,54.63,46.96,80.78,11.51,0
UNMSM_DEMO_0020,2024,Faculty_03,student,65.73,60.16,71.03,60.34,88.14,61.77,71.94,71.48,56.72,60.99,7.45,1
UNMSM_DEMO_0021,2024,Faculty_09,administrative,71.37,65.73,51.01,56.97,53.54,52.64,65.22,67.28,47.73,94.64,3.1,1
UNMSM_DEMO_0022,2023,Faculty_10,student,56.19,37.1,44.09,57.18,37.33,21.11,57.87,56.22,65.97,98.92,14.51,0
UNMSM_DEMO_0023,2022,Faculty_04,manager,65.08,35.75,57.05,36.29,48.28,34.33,71.68,51.88,48.15,69.35,10.21,1
UNMSM_DEMO_0024,2026,Faculty_09,student,63.65,73.34,85.56,64.05,60.71,55.78,73.64,80.25,67.61,67.43,5.89,1
UNMSM_DEMO_0025,2025,Faculty_13,manager,78.77,78.36,73.01,54.75,56.97,79.92,68.59,71.4,59.98,63.82,9.17,1
UNMSM_DEMO_0026,2025,Faculty_05,student,75.43,59.14,76.68,48.98,78.51,56.96,73.26,65.84,57.01,61.37,4.51,1
UNMSM_DEMO_0027,2024,Faculty_07,administrative,71.11,54.71,82.55,70.35,84.95,48.34,75.76,64.83,58.89,74.94,0.2,1
UNMSM_DEMO_0028,2026,Faculty_08,student,84.03,80.13,91.71,82.56,82.14,27.86,90.73,66.65,58.3,37.11,7.31,1
UNMSM_DEMO_0029,2024,Faculty_11,faculty,65.11,39.83,60.16,69.19,57.0,57.5,71.97,68.52,53.92,51.93,10.25,1
UNMSM_DEMO_0030,2024,Faculty_08,administrative,72.6,69.59,91.26,66.73,52.72,58.44,83.91,69.02,62.01,64.38,6.87,1
UNMSM_DEMO_0031,2024,Faculty_15,administrative,74.39,69.46,76.04,71.51,93.19,83.89,68.28,71.65,73.24,54.32,1.53,1
UNMSM_DEMO_0032,2023,Faculty_07,administrative,83.92,65.01,71.25,98.49,67.21,61.92,70.5,79.88,58.09,65.86,3.21,1
UNMSM_DEMO_0033,2022,Faculty_09,student,42.65,38.3,36.06,32.22,35.15,43.57,53.23,50.09,37.26,97.86,14.28,0
UNMSM_DEMO_0034,2024,Faculty_08,student,53.7,47.9,75.64,38.1,23.92,52.04,65.67,64.55,45.19,111.43,16.91,0
UNMSM_DEMO_0035,2026,Faculty_04,student,85.31,71.41,88.74,56.58,56.85,61.93,71.35,69.23,77.5,53.43,8.14,0
UNMSM_DEMO_0036,2022,Faculty_14,student,43.76,50.3,45.47,52.32,37.74,36.73,66.12,64.02,41.06,100.42,8.52,1
UNMSM_DEMO_0037,2026,Faculty_05,faculty,55.81,45.31,67.34,53.13,33.91,39.05,71.63,67.49,57.73,84.32,12.23,1
UNMSM_DEMO_0038,2026,Faculty_06,faculty,69.71,67.94,69.81,76.83,31.8,53.11,67.74,75.45,69.74,92.08,11.46,1
UNMSM_DEMO_0039,2023,Faculty_16,administrative,65.61,64.01,81.98,42.73,62.41,56.04,75.9,75.85,57.31,59.11,9.99,1
UNMSM_DEMO_0040,2025,Faculty_19,administrative,64.49,53.0,50.65,69.46,78.99,61.69,65.76,64.21,44.11,59.25,9.59,1
UNMSM_DEMO_0041,2022,Faculty_14,faculty,52.93,39.83,49.76,43.55,54.83,40.41,65.81,53.1,37.44,81.79,1.53,1
UNMSM_DEMO_0042,2025,Faculty_19,administrative,45.54,37.78,55.27,56.64,45.4,30.65,50.5,50.15,55.73,94.74,12.77,0
UNMSM_DEMO_0043,2025,Faculty_18,student,64.27,56.78,41.33,31.69,47.84,66.62,61.07,72.62,39.0,66.75,8.83,0
UNMSM_DEMO_0044,2023,Faculty_10,student,52.44,44.66,62.13,57.01,49.33,36.55,62.95,65.32,55.61,78.99,5.96,1
UNMSM_DEMO_0045,2022,Faculty_16,faculty,87.7,54.09,76.1,82.96,90.0,68.56,80.66,65.26,66.7,36.73,4.21,1
UNMSM_DEMO_0046,2026,Faculty_07,administrative,83.26,60.62,77.33,60.88,60.09,54.25,70.93,70.25,65.88,77.8,9.21,1
UNMSM_DEMO_0047,2024,Faculty_10,student,61.02,58.86,92.22,70.21,65.9,61.61,54.87,71.48,66.55,75.53,1.37,1
UNMSM_DEMO_0048,2026,Faculty_11,student,50.34,73.87,60.42,44.97,56.95,42.86,54.82,60.56,45.99,92.88,11.62,1
UNMSM_DEMO_0049,2025,Faculty_20,faculty,68.96,42.11,60.04,48.16,60.68,49.95,67.09,62.11,45.56,68.17,11.41,1
UNMSM_DEMO_0050,2025,Faculty_17,student,60.38,39.45,60.15,43.52,46.26,44.43,65.59,56.44,56.66,94.8,10.84,1
UNMSM_DEMO_0051,2025,Faculty_10,student,38.54,45.58,50.52,8.3,21.21,27.41,68.69,49.85,36.46,122.59,11.53,0
UNMSM_DEMO_0052,2022,Faculty_14,administrative,39.77,54.79,40.5,43.46,45.26,12.29,59.12,44.38,23.8,64.52,9.25,1
UNMSM_DEMO_0053,2023,Faculty_05,faculty,46.59,31.44,38.53,44.0,40.77,54.58,57.09,43.44,48.82,93.93,15.9,0
UNMSM_DEMO_0054,2024,Faculty_17,student,46.46,30.18,52.27,22.24,30.0,27.88,59.28,50.18,35.05,109.44,8.51,0
UNMSM_DEMO_0055,2024,Faculty_12,administrative,55.53,53.21,55.65,44.33,57.37,46.43,70.52,61.87,54.69,74.26,12.99,0
UNMSM_DEMO_0056,2022,Faculty_11,student,73.81,44.98,51.52,61.92,60.97,50.09,62.87,53.84,66.18,56.46,9.19,1
UNMSM_DEMO_0057,2024,Faculty_16,administrative,48.61,39.94,51.57,56.79,71.28,46.37,58.97,62.61,49.41,77.92,8.26,1
UNMSM_DEMO_0058,2022,Faculty_13,student,81.64,65.1,83.13,57.92,70.74,57.51,68.52,72.37,72.07,52.22,1.27,1
UNMSM_DEMO_0059,2025,Faculty_02,faculty,83.71,80.61,72.82,51.69,98.32,72.28,84.39,81.21,64.89,50.86,3.65,1
UNMSM_DEMO_0060,2025,Faculty_06,student,83.55,64.47,65.68,75.13,54.06,53.38,75.59,67.27,75.84,71.01,11.3,1
UNMSM_DEMO_0061,2026,Faculty_04,student,54.15,55.0,58.36,47.45,40.71,51.33,58.05,58.71,43.57,94.34,7.43,0
UNMSM_DEMO_0062,2025,Faculty_15,administrative,80.68,77.58,70.33,81.98,68.42,50.08,72.26,73.32,65.93,54.35,9.05,1
UNMSM_DEMO_0063,2023,Faculty_01,student,78.63,85.36,73.68,60.48,64.84,54.31,76.79,67.09,69.77,61.0,7.98,1
UNMSM_DEMO_0064,2026,Faculty_05,student,77.55,51.47,50.59,42.4,73.96,43.53,66.09,64.32,52.4,69.91,6.39,1
UNMSM_DEMO_0065,2024,Faculty_12,student,65.71,64.43,60.47,72.42,53.92,71.72,62.96,63.69,67.85,84.31,12.4,1
UNMSM_DEMO_0066,2023,Faculty_14,faculty,67.98,80.88,68.05,64.54,68.31,36.87,64.43,77.41,58.39,93.74,1.11,1
UNMSM_DEMO_0067,2026,Faculty_11,administrative,71.38,42.28,62.16,59.22,65.64,32.03,71.03,56.28,72.27,51.0,9.47,1
UNMSM_DEMO_0068,2023,Faculty_18,manager,49.99,56.05,55.54,51.56,44.16,19.35,58.71,66.58,68.04,86.61,16.11,1
UNMSM_DEMO_0069,2022,Faculty_19,student,36.85,32.98,36.28,30.45,22.04,28.2,50.12,42.53,42.0,87.23,19.36,0
UNMSM_DEMO_0070,2024,Faculty_03,student,70.35,60.89,66.99,53.68,70.61,43.94,60.09,61.69,62.32,79.97,8.71,1
UNMSM_DEMO_0071,2025,Faculty_20,student,77.55,61.84,78.27,57.88,74.77,37.51,74.48,70.64,71.47,53.14,5.39,1
UNMSM_DEMO_0072,2022,Faculty_13,faculty,51.19,37.49,55.25,28.37,44.29,36.0,60.22,64.77,36.83,80.45,9.35,0
UNMSM_DEMO_0073,2024,Faculty_13,manager,68.08,49.43,64.49,51.66,56.59,30.1,66.0,72.43,44.95,68.89,8.35,0
UNMSM_DEMO_0074,2022,Faculty_02,faculty,64.78,63.47,62.27,69.64,57.9,46.51,68.23,66.86,68.42,69.83,10.9,1
UNMSM_DEMO_0075,2025,Faculty_13,faculty,88.24,77.14,63.55,65.17,64.17,71.39,78.93,87.11,66.3,72.29,6.07,1
UNMSM_DEMO_0076,2024,Faculty_15,student,77.42,73.22,76.32,57.61,81.22,71.96,78.38,73.8,60.97,66.73,8.0,1
UNMSM_DEMO_0077,2023,Faculty_12,administrative,73.63,70.47,83.33,50.49,67.94,66.83,77.82,83.41,61.87,69.94,13.09,1
UNMSM_DEMO_0078,2023,Faculty_02,student,51.07,52.7,50.42,57.63,28.65,30.96,58.71,52.36,31.84,73.88,13.13,1
UNMSM_DEMO_0079,2024,Faculty_11,student,93.23,66.12,70.14,71.62,64.35,51.94,72.57,72.61,64.23,75.44,3.98,1
UNMSM_DEMO_0080,2025,Faculty_19,student,50.65,63.09,56.29,43.69,41.82,34.16,54.26,47.02,45.54,85.44,7.42,1
UNMSM_DEMO_0081,2026,Faculty_15,student,74.06,81.64,79.21,66.75,76.03,61.97,69.01,69.33,72.19,75.44,8.42,1
UNMSM_DEMO_0082,2024,Faculty_03,student,50.51,85.72,60.25,39.97,54.59,62.23,62.54,77.79,62.3,71.49,9.6,1
UNMSM_DEMO_0083,2022,Faculty_20,student,55.32,47.12,58.66,59.7,45.01,57.8,57.89,53.94,57.28,61.09,13.57,0
UNMSM_DEMO_0084,2026,Faculty_20,student,41.36,40.34,56.44,34.18,42.01,40.86,59.67,61.3,49.0,87.94,9.83,1
UNMSM_DEMO_0085,2025,Faculty_04,faculty,63.86,66.97,71.96,67.79,47.87,42.17,61.95,75.15,47.99,92.28,12.19,1
UNMSM_DEMO_0086,2025,Faculty_17,student,55.58,53.6,64.28,39.36,52.85,36.68,53.08,59.32,56.74,83.02,9.21,1
UNMSM_DEMO_0087,2022,Faculty_09,student,66.48,59.32,75.67,74.94,57.63,58.14,76.0,63.09,66.42,67.17,6.17,1
UNMSM_DEMO_0088,2023,Faculty_12,manager,83.05,68.14,65.74,71.25,65.95,64.95,69.4,67.97,73.18,55.47,6.94,1
UNMSM_DEMO_0089,2025,Faculty_09,faculty,57.04,58.44,50.2,55.77,51.95,66.44,56.16,59.02,69.65,98.58,7.18,1
UNMSM_DEMO_0090,2026,Faculty_16,student,81.0,57.74,70.04,68.51,43.72,35.64,65.43,64.24,47.97,66.47,16.26,1
UNMSM_DEMO_0091,2024,Faculty_20,student,61.1,47.64,52.41,52.25,35.87,42.16,66.6,60.38,48.7,78.5,12.1,1
UNMSM_DEMO_0092,2026,Faculty_16,administrative,58.92,57.61,52.1,54.57,62.62,59.04,72.58,62.69,46.96,78.76,11.4,1
UNMSM_DEMO_0093,2026,Faculty_19,student,79.94,80.7,71.0,64.19,50.96,43.62,70.18,84.25,65.48,53.65,7.81,1
UNMSM_DEMO_0094,2023,Faculty_19,student,70.89,50.57,55.88,70.73,62.79,44.53,65.63,56.47,57.33,83.08,6.03,0
UNMSM_DEMO_0095,2026,Faculty_02,administrative,96.02,61.97,77.61,68.07,99.24,63.58,86.46,81.53,64.74,55.89,2.95,1
UNMSM_DEMO_0096,2023,Faculty_06,student,46.04,33.01,53.32,46.74,40.67,44.72,46.95,49.0,54.85,96.74,15.1,0
UNMSM_DEMO_0097,2023,Faculty_15,faculty,80.24,54.4,80.1,63.14,67.2,44.44,88.86,67.88,53.71,73.95,5.44,1
UNMSM_DEMO_0098,2025,Faculty_12,faculty,61.49,48.84,68.17,61.1,70.58,59.52,84.32,74.03,47.89,63.98,4.85,1
UNMSM_DEMO_0099,2025,Faculty_02,faculty,89.85,67.41,94.91,60.46,62.21,67.29,62.09,85.2,59.71,57.91,6.98,1
UNMSM_DEMO_0100,2022,Faculty_02,student,62.83,38.64,55.51,48.23,51.73,53.12,64.12,56.56,48.17,77.81,11.92,0
UNMSM_DEMO_0101,2026,Faculty_11,student,73.72,55.48,64.94,55.77,51.97,41.93,64.9,68.14,47.66,65.77,14.67,0
UNMSM_DEMO_0102,2022,Faculty_13,student,59.87,46.1,57.0,32.91,41.24,51.8,62.45,64.57,49.26,94.92,12.53,0
UNMSM_DEMO_0103,2026,Faculty_04,student,60.3,50.23,62.78,48.9,40.34,33.75,62.77,57.4,51.93,95.27,13.1,1
UNMSM_DEMO_0104,2022,Faculty_04,administrative,73.37,74.85,67.88,46.28,60.38,54.96,76.16,76.34,52.91,92.95,10.77,0
UNMSM_DEMO_0105,2025,Faculty_03,student,73.84,74.12,90.04,45.81,78.19,82.19,74.7,93.39,70.36,70.0,1.64,1
UNMSM_DEMO_0106,2025,Faculty_12,faculty,78.01,67.1,63.23,63.9,62.69,58.99,64.38,72.91,60.38,80.64,5.79,1
UNMSM_DEMO_0107,2025,Faculty_01,administrative,94.42,71.76,87.06,77.79,63.0,54.31,79.39,78.9,78.83,62.34,3.72,1
